Seção;Descrição da seção;Divisão;Descrição da divisão;Grupo;Descrição do grupo;Classe;Descrição da classe;classe_sdv
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;0111
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0112
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.13-0;Cultivo de cana-de-açúcar;0113
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.14-8;Cultivo de fumo;0114
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.15-6;Cultivo de soja;0115
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.2;Horticultura e floricultura;01.21-1;Horticultura;0121
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.2;Horticultura e floricultura;01.22-9;Cultivo de flores e plantas ornamentais;0122
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.31-8;Cultivo de laranja;0131
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.32-6;Cultivo de uva;0132
A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.33-4;Cultivo de frutas de lavoura permanente, exceto laranja e uva;0133
