sh4,atividade_scn
8413,2800
8479,2800
8483,2800
8708,2992
0101,0192
0102,0192
0103,0192
0105,0192
0407,0192
0409,0192
0410,0192
0201,1091
0202,1091
0203,1091
0204,1091
0206,1091
0207,1091
0209,1091
0210,1091
0504,1091
0505,1091
0510,1091
1501,1091
1502,1091
2301,1091
4101,1091
4102,1091
0303,1091
0304,1091
0305,1091
0402,1091
0403,1091
0404,1091
0405,1091
0406,1091
2105,1091
0408,1093
1603,1093
1704,1093
1803,1093
1804,1093
1805,1093
1806,1093
1902,1093
1905,1093
2004,1093
2005,1093
2006,1093
2007,1093
2008,1093
2101,1093
2102,1093
2103,1093
2104,1093
2209,1093
2309,1093
0701,0191
0703,0191
0709,0191
0713,0191
1001,0191
1002,0191
1003,0191
1004,0191
1005,0191
1007,0191
1008,0191
1201,0191
1204,0191
1205,0191
1206,0191
0603,0191
0604,0191
0702,0191
0704,0191
0705,0191
0706,0191
0707,0191
0708,0191
0807,0191
0803,0191
0808,0191
0809,0191
1210,0191
1801,0191
0711,1093
0712,1093
0811,1093
0812,1093
0813,1093
0814,1093
1105,1093
2001,1093
2002,1093
2003,1093
2009,1093
2308,1093
1101,1093
1102,1093
1103,1093
1104,1093
1106,1093
1108,1093
1109,1093
1515,1093
1903,1093
1904,1093
2302,1093
2306,1093
1208,1093
1504,1093
1506,1093
1507,1093
1508,1093
1509,1093
1510,1093
1511,1093
1512,1093
1513,1093
1514,1093
1516,1093
1517,1093
2304,1093
1518,2092
2923,2092
3213,2092
3215,2092
3301,2092
3302,2092
3403,2092
3504,2092
3506,2092
3601,2092
3602,2092
3603,2092
3604,2092
3605,2092
3701,2092
3702,2092
3703,2092
3707,2092
3809,2092
3810,2092
3811,2092
3812,2092
3813,2092
3815,2092
3818,2092
3819,2092
3820,2092
3821,2092
3822,2092
1520,2093
3303,2093
3304,2093
3305,2093
3306,2093
3307,2093
3401,2093
3405,2093
1701,1092
1703,1092
2801,2091
2802,2091
2806,2091
2807,2091
2808,2091
2809,2091
2810,2091
2811,2091
2812,2091
2813,2091
2814,2091
2815,2091
2816,2091
2817,2091
2819,2091
2820,2091
2821,2091
2822,2091
2823,2091
2824,2091
2826,2091
2829,2091
2830,2091
2831,2091
2832,2091
2833,2091
2836,2091
2837,2091
2839,2091
2840,2091
2841,2091
2842,2091
2843,2091
2846,2091
2847,2091
2849,2091
2850,2091
3101,2091
3102,2091
3103,2091
3104,2091
3105,2091
3202,2091
3206,2091
3802,2091
2602,0792
2603,0792
2606,0792
2608,0792
2610,0792
2613,0792
2614,0792
2615,0792
2617,0792
2619,2491
7205,2491
7206,2491
7207,2491
7208,2491
7209,2491
7210,2491
7215,2491
7216,2491
7217,2491
7218,2491
7219,2491
7222,2491
7223,2491
7224,2491
7225,2491
7226,2491
7227,2491
7228,2491
7229,2491
7301,2491
7302,2491
7304,2491
7313,2491
2620,2492
7106,2492
7107,2492
7112,2492
7402,2492
7403,2492
7404,2492
7405,2492
7406,2492
7407,2492
7408,2492
7409,2492
7410,2492
7411,2492
7412,2492
7502,2492
7503,2492
7504,2492
7505,2492
7506,2492
7507,2492
7601,2492
7602,2492
7603,2492
7604,2492
7605,2492
7606,2492
7607,2492
7608,2492
7609,2492
7801,2492
7901,2492
7903,2492
7904,2492
7905,2492
8001,2492
8003,2492
8101,2492
8103,2492
8104,2492
8105,2492
8106,2492
8107,2492
8108,2492
8109,2492
8110,2492
8111,2492
8113,2492
2712,1991
2713,1991
2704,1991
2707,2091
2708,2091
2803,2091
2901,2091
2902,2091
2903,2091
2906,2091
2907,2091
2908,2091
2910,2091
2911,2091
2912,2091
2914,2091
2917,2091
2919,2091
2925,2091
2927,2091
2928,2091
2929,2091
2942,2091
3201,2091
3203,2091
3205,2091
3803,2091
3804,2091
3805,2091
3806,2091
3807,2091
3817,2091
3823,2091
3907,2091
3912,2091
3913,2091
3207,2092
3208,2092
3209,2092
3210,2092
3211,2092
3212,2092
3214,2092
3814,2092
3901,2091
3902,2091
3903,2091
3904,2091
3905,2091
3906,2091
3908,2091
3909,2091
3910,2091
3911,2091
3914,2091
4002,2091
5404,2091
5405,2091
5501,2091
5502,2091
5503,2091
5505,2091
7201,2491
7202,2491
7203,2491
7303,2491
7305,2491
7306,2491
7307,2491
8307,2491
8511,2992
8512,2992
7325,2492
8703,2991
8706,2991
8702,2991
8705,2991
8609,2991
0301,0280
1301,0280
4402,0280
1107,1100
2203,1100
2204,1100
2205,1100
2206,1100
2307,1100
1505,1300
5004,1300
5006,1300
5007,1300
5103,1300
5105,1300
5106,1300
5107,1300
5109,1300
5111,1300
5112,1300
5202,1300
5203,1300
5204,1300
5205,1300
5206,1300
5207,1300
5208,1300
5209,1300
5210,1300
5211,1300
5212,1300
5307,1300
5308,1300
5309,1300
5310,1300
5311,1300
5401,1300
5406,1300
5407,1300
5408,1300
5506,1300
5508,1300
5509,1300
5510,1300
5511,1300
5512,1300
5513,1300
5514,1300
5515,1300
5516,1300
5602,1300
5603,1300
5604,1300
5605,1300
5606,1300
5607,1300
5608,1300
5609,1300
5701,1300
5702,1300
5703,1300
5704,1300
5705,1300
5801,1300
5802,1300
5803,1300
5804,1300
5805,1300
5806,1300
5807,1300
5808,1300
5810,1300
5811,1300
5902,1300
5903,1300
5907,1300
5908,1300
5909,1300
5910,1300
5911,1300
6001,1300
6002,1300
6302,1300
6303,1300
6304,1300
6305,1300
6306,1300
6308,1300
8804,1300
2402,1200
2403,1200
2502,0580
2503,0580
2504,0580
2505,0580
2506,0580
2508,0580
2509,0580
2512,0580
2513,0580
2514,0580
2516,0580
2519,0580
2524,0580
2525,0580
2526,0580
2528,0580
2530,0580
2703,0580
2522,2300
2523,2300
2715,2300
3801,2300
3816,2300
6801,2300
6802,2300
6803,2300
6804,2300
6805,2300
6806,2300
6807,2300
6808,2300
6809,2300
6810,2300
6811,2300
6813,2300
6814,2300
6815,2300
6901,2300
6902,2300
6903,2300
6904,2300
6905,2300
6906,2300
6907,2300
6908,2300
6909,2300
6910,2300
6911,2300
6912,2300
6913,2300
6914,2300
7001,2300
7002,2300
7003,2300
7004,2300
7005,2300
7006,2300
7007,2300
7008,2300
7009,2300
7010,2300
7011,2300
7013,2300
7014,2300
7015,2300
7016,2300
7017,2300
7018,2300
7020,2300
2709,0680
2716,3500
2935,2100
2936,2100
2937,2100
2938,2100
2939,2100
2940,2100
2941,2100
3001,2100
3002,2100
3003,2100
3004,2100
3406,3180
3606,3180
4206,3180
6601,3180
6603,3180
6701,3180
6702,3180
6703,3180
6704,3180
7105,3180
7113,3180
7114,3180
7116,3180
7117,3180
7319,3180
8308,3180
9003,3180
9004,3180
9019,3180
9020,3180
9023,3180
9202,3180
9205,3180
9206,3180
9207,3180
9208,3180
9209,3180
9402,3180
9503,3180
9505,3180
9506,3180
9507,3180
9602,3180
9603,3180
9604,3180
9606,3180
9607,3180
9608,3180
9609,3180
9610,3180
9611,3180
9612,3180
9614,3180
9615,3180
9616,3180
9617,3180
9618,3180
3915,2200
3916,2200
3917,2200
3918,2200
3919,2200
3920,2200
3921,2200
3922,2200
3923,2200
3924,2200
3925,2200
4003,2200
4004,2200
4005,2200
4006,2200
4007,2200
4008,2200
4009,2200
4010,2200
4011,2200
4013,2200
4014,2200
4017,2200
5906,2200
3704,7380
3705,7380
4302,1400
4303,1400
4304,1400
6101,1400
6102,1400
6103,1400
6104,1400
6105,1400
6106,1400
6107,1400
6108,1400
6109,1400
6110,1400
6111,1400
6112,1400
6113,1400
6114,1400
6115,1400
6117,1400
6201,1400
6202,1400
6203,1400
6204,1400
6205,1400
6206,1400
6207,1400
6208,1400
6209,1400
6210,1400
6212,1400
6214,1400
6215,1400
6217,1400
6501,1400
6502,1400
6504,1400
6505,1400
6507,1400
6309,3680
6310,3680
4104,1500
4105,1500
4106,1500
4107,1500
4201,1500
4202,1500
4205,1500
6401,1500
6402,1500
6403,1500
6404,1500
6405,1500
6406,1500
9605,1500
4405,1600
4406,1600
4407,1600
4408,1600
4409,1600
4410,1600
4411,1600
4412,1600
4413,1600
4414,1600
4415,1600
4416,1600
4417,1600
4418,1600
4419,1600
4420,1600
4501,1600
4503,1600
4504,1600
4601,1600
4602,1600
4701,1700
4702,1700
4703,1700
4704,1700
4705,1700
4706,1700
4707,1700
4801,1700
4802,1700
4803,1700
4804,1700
4805,1700
4806,1700
4807,1700
4808,1700
4809,1700
4810,1700
4811,1700
4812,1700
4813,1700
4814,1700
4816,1700
4817,1700
4818,1700
4819,1700
4821,1700
4822,1700
4823,1700
4902,1800
4907,1800
4909,1800
4910,1800
4903,5800
4905,5800
4904,5980
8501,2700
8502,2700
8503,2700
8504,2700
8505,2700
8506,2700
8507,2700
8508,2700
8509,2700
8510,2700
8513,2700
8516,2700
8530,2700
8531,2700
8532,2700
8533,2700
8535,2700
8537,2700
8538,2700
8539,2700
8545,2700
8548,2700
7308,2500
7309,2500
7310,2500
7311,2500
7312,2500
7314,2500
7316,2500
7317,2500
7318,2500
7323,2500
7324,2500
7326,2500
7413,2500
7415,2500
7418,2500
7610,2500
7612,2500
7613,2500
7614,2500
7615,2500
7616,2500
8007,2500
8201,2500
8202,2500
8203,2500
8204,2500
8205,2500
8206,2500
8207,2500
8208,2500
8209,2500
8210,2500
8211,2500
8212,2500
8213,2500
8214,2500
8215,2500
8301,2500
8302,2500
8303,2500
8304,2500
8305,2500
8309,2500
8310,2500
8311,2500
8402,2500
8403,2500
8404,2500
8480,2500
9302,2500
9303,2500
9304,2500
9305,2500
9306,2500
8405,2800
8406,2800
8410,2800
8415,2800
8416,2800
8417,2800
8420,2800
8423,2800
8424,2800
8425,2800
8426,2800
8427,2800
8428,2800
8429,2800
8430,2800
8431,2800
8432,2800
8433,2800
8434,2800
8435,2800
8436,2800
8437,2800
8438,2800
8439,2800
8440,2800
8441,2800
8444,2800
8445,2800
8446,2800
8447,2800
8448,2800
8449,2800
8452,2800
8453,2800
8454,2800
8455,2800
8456,2800
8457,2800
8458,2800
8459,2800
8460,2800
8461,2800
8462,2800
8463,2800
8464,2800
8465,2800
8466,2800
8467,2800
8468,2800
8470,2800
8472,2800
8474,2800
8475,2800
8476,2800
8477,2800
8478,2800
8481,2800
8482,2800
8514,2800
8709,2800
8805,2800
9508,2800
8602,3000
8603,3000
8604,3000
8607,3000
8608,3000
8711,3000
8712,3000
8713,3000
8714,3000
8715,3000
8801,3000
8802,3000
8803,3000
8901,3000
8902,3000
8903,3000
8904,3000
8905,3000
8906,3000
8907,3000
8471,2600
8517,2600
8518,2600
8521,2600
8522,2600
8525,2600
8526,2600
8527,2600
8528,2600
8529,2600
8534,2600
8540,2600
8541,2600
8542,2600
9002,2600
9005,2600
9006,2600
9007,2600
9010,2600
9011,2600
9012,2600
9013,2600
9014,2600
9015,2600
9016,2600
9017,2600
9022,2600
9024,2600
9026,2600
9027,2600
9028,2600
9029,2600
9030,2600
9031,2600
