,ano,cnae_2,Engenheiros,Pesquisadores,Profissionais Científicos,Total Técnicos,Total Contratados,Potec
0,2006,1113.0,198.0,0.0,46.0,244.0,72197,0.0033796418133717468
1,2006,1121.0,68.0,0.0,3.0,71.0,11495,0.006176598521096129
2,2006,1130.0,383.0,2.0,97.0,482.0,184911,0.002606659419937159
3,2006,1148.0,7.0,1.0,0.0,8.0,2609,0.0030663089306247606
4,2006,1156.0,268.0,0.0,17.0,285.0,70457,0.004045020367032374
5,2006,1164.0,67.0,4.0,3.0,74.0,4011,0.01844926452256295
6,2006,1199.0,71.0,1.0,6.0,78.0,45801,0.0017030195847252242
7,2006,1211.0,20.0,3.0,8.0,31.0,16990,0.0018246027074749853
8,2006,1229.0,23.0,0.0,6.0,29.0,17440,0.0016628440366972478
9,2006,1318.0,83.0,0.0,7.0,90.0,58464,0.001539408866995074
10,2006,1326.0,30.0,0.0,1.0,31.0,18982,0.0016331261194816142
11,2006,1334.0,83.0,8.0,21.0,112.0,58941,0.0019002052900357984
12,2006,1342.0,82.0,0.0,6.0,88.0,99930,0.0008806164315020514
13,2006,1351.0,8.0,1.0,0.0,9.0,12212,0.0007369800196528005
14,2006,1393.0,33.0,0.0,5.0,38.0,15914,0.0023878346110343092
15,2006,1415.0,163.0,14.0,10.0,187.0,4621,0.04046743129192815
16,2006,1423.0,9.0,0.0,0.0,9.0,5140,0.0017509727626459145
17,2006,1512.0,180.0,2.0,30.0,212.0,327904,0.0006465306919098273
18,2006,1521.0,8.0,0.0,0.0,8.0,6259,0.0012781594503914362
19,2006,1539.0,0.0,0.0,1.0,1.0,1608,0.0006218905472636816
20,2006,1547.0,7.0,0.0,6.0,13.0,19062,0.0006819851012485574
21,2006,1555.0,38.0,3.0,50.0,91.0,80431,0.0011314045579440763
22,2006,1598.0,2.0,0.0,2.0,4.0,4739,0.0008440599282549061
23,2006,1610.0,665.0,388.0,100.0,1153.0,94642,0.012182751843790283
24,2006,1628.0,89.0,2.0,47.0,138.0,33410,0.004130499850344208
25,2006,1636.0,9.0,0.0,1.0,10.0,2353,0.004249893752656183
26,2006,2101.0,135.0,4.0,8.0,147.0,51406,0.002859588374897872
27,2006,2209.0,3.0,0.0,1.0,4.0,8744,0.0004574565416285453
28,2006,2306.0,151.0,32.0,32.0,215.0,59197,0.0036319408078112066
29,2006,3116.0,5.0,0.0,1.0,6.0,8238,0.0007283321194464676
