,hs_product_code,import_total_2013
0,0101,2252647289
1,0102,8348312184
2,0103,4602919649
3,0104,1912526953
4,0105,3053708242
5,0106,1181077854
6,0201,20207416595
7,0202,18351268813
8,0203,28623826409
9,0204,5906667155
10,0205,496926049
11,0206,5666220470
12,0207,23175566995
13,0208,874479848
14,0209,967247717
15,0210,4934747363
16,0301,1333654539
17,0302,18520432592
18,0303,22947237920
19,0304,21810995169
20,0305,5401662596
21,0306,21738825696
22,0307,9841134566
23,0401,8784871697
24,0402,22613889025
25,0403,4522994949
26,0404,5652659797
27,0405,7754668819
28,0406,29809990229
29,0407,3360764024
30,0408,1117343568
31,0409,1973399981
32,0410,326497876
33,0501,145719915
34,0502,144179577
35,0504,4049619996
36,0505,1916506398
37,0506,377864994
38,0508,118249945
39,0510,203921680
40,0511,2433073364
41,0601,1837200608
42,0602,8598974743
43,0603,9166460836
44,0604,1346444306
45,0701,4482627632
46,0702,8747163263
47,0703,5961785473
48,0704,2507918809
49,0705,2539101513
50,0706,1854130163
51,0707,2405186702
52,0708,1511800721
53,0709,12446153840
54,0710,6082631832
55,0711,776854937
56,0712,3279325165
57,0713,9038786858
58,0714,2792377958
59,0801,5241959578
60,0802,13726336509
61,0803,14750748145
62,0804,9010226193
63,0805,13259960944
64,0806,9794008771
65,0807,3318599226
66,0808,10601702172
67,0809,5211373940
68,0810,11304417738
69,0811,4187377968
70,0812,204474380
71,0813,2201356753
72,0814,103908726
73,0901,28484021700
74,0902,7245780397
75,0903,145172648
76,0904,3673090182
77,0905,238455642
78,0906,362748610
79,0907,317532569
80,0908,694215985
81,0909,693887347
82,0910,2048701054
83,1001,48308518292
84,1002,499483504
85,1003,8527006503
86,1004,808081000
87,1005,35068665299
88,1006,21288828720
89,1007,1640701074
90,1008,945729909
91,1101,3575251308
92,1102,751480863
93,1103,1175342404
94,1104,1315587155
95,1105,633746560
96,1106,462875537
97,1107,3933263887
98,1108,3730497042
99,1109,1227678285
100,1201,55695830921
101,1202,2832186573
102,1204,967882353
103,1205,12710169630
104,1206,4197209162
105,1207,4913967346
106,1208,1966270172
107,1209,7105203296
108,1210,345254274
109,1211,2566382487
110,1212,1637919851
111,1213,340088013
112,1214,2707472389
113,1301,845784644
114,1302,7635714893
115,1401,202942072
116,1404,716618861
117,1501,591749001
118,1502,1365608326
119,1504,1845212828
120,1505,331891545
121,1506,521952992
122,1507,10849106713
123,1508,347826278
124,1509,6383837012
125,1510,401566566
126,1511,35981916023
127,1512,9681203855
128,1513,5124586263
129,1514,8462670851
130,1515,3843450369
131,1516,3582507680
132,1517,5612916091
133,1518,2085307491
134,1519,7807918453
135,1520,1652188698
136,1521,344533715
137,1601,4722056902
138,1602,14756945146
139,1603,210363858
140,1604,16415504637
141,1605,8756721897
142,1701,30168092247
143,1702,7051356165
144,1703,1206026390
145,1704,10194608645
146,1801,8807975437
147,1802,249786244
148,1803,3364037706
149,1804,3820656660
150,1805,2630092017
151,1806,24780565065
152,1901,16559025113
153,1902,8063342213
154,1903,85373568
155,1904,5412087221
156,1905,28224788163
157,2001,1884525481
158,2002,4423034673
159,2003,1184307440
160,2004,7137301061
161,2005,9687854312
162,2006,510476330
163,2007,2905670198
164,2008,12932762670
165,2009,16822897458
166,2101,7997559250
167,2102,2080651627
168,2103,9984745732
169,2104,3092374528
170,2105,3100236835
171,2106,32661309928
172,2201,2581787363
173,2202,16542563472
174,2203,12798040329
175,2204,32378750690
176,2205,540450860
177,2206,1437192097
178,2207,9122859216
179,2208,29417327539
180,2209,580639868
181,2301,6040370331
182,2302,2204726458
183,2303,6195744859
184,2304,32080658358
185,2306,7790815490
186,2308,1075011643
187,2309,24787275007
188,2401,13353731352
189,2402,23049366204
190,2403,5634931094
191,2501,3263094243
192,2502,103919970
193,2503,3625529872
194,2504,495215884
195,2505,1629183686
196,2506,427437335
197,2507,1658394055
198,2508,2024296952
199,2509,184467937
200,2510,3753341430
201,2511,882835109
202,2512,185902164
203,2513,321621846
204,2514,89128964
205,2515,2722329917
206,2516,2142730424
207,2517,2987813471
208,2518,625292319
209,2519,2002573578
210,2520,1130316278
211,2521,630124846
212,2522,1054447866
213,2523,11764422108
214,2524,478695260
215,2525,210265865
216,2526,861573814
217,2528,322177509
218,2530,1791741067
219,2601,144553054862
220,2606,5109839183
221,2607,6576490850
222,2608,7694581012
223,2609,537672458
224,2610,2999850484
225,2611,368203211
226,2612,707010950
227,2613,4170004808
228,2614,2812317183
229,2615,1835721626
230,2616,5992710379
231,2618,703543655
232,2620,4598471669
233,2621,488185595
234,2701,115428621051
235,2703,1167245101
236,2704,6266126523
237,2705,10835599
238,2706,1080620401
239,2707,25180717533
240,2708,1113940254
241,2709,1553316339468
242,2710,940786424799
243,2711,460302050149
244,2712,3993898169
245,2713,23329231592
246,2714,944629396
247,2715,1700676826
248,2716,33849655439
249,2801,1794741187
250,2802,497313846
251,2803,4955846956
252,2804,9984563084
253,2805,942082981
254,2806,287044507
255,2807,1188100877
256,2808,343067664
257,2809,4173716490
258,2810,618460571
259,2811,4297325041
260,2812,403499363
261,2813,201779449
262,2814,10130114021
263,2815,6122643331
264,2816,193108131
265,2817,1048373146
266,2818,13515168922
267,2819,503959543
268,2820,382311780
269,2821,1062240423
270,2823,1007236146
271,2824,186341356
272,2825,3466600807
273,2826,1024088534
274,2827,2412922801
275,2828,523292290
276,2829,863566514
277,2830,662751098
278,2831,303685024
279,2832,390731817
280,2833,3144838110
281,2834,1282336883
282,2835,3791197707
283,2836,6045947916
284,2837,1384363684
285,2839,755584568
286,2840,1053738746
287,2841,1658606590
288,2842,414425697
289,2843,6431098155
290,2844,17438961925
291,2845,263395375
292,2846,1097377965
293,2847,678394468
294,2848,64120198
295,2849,1892143643
296,2850,521724461
297,2851,665299853
298,2901,27904599203
299,2902,61770693641
300,2903,8889905586
301,2904,1679271060
302,2905,39897104864
303,2906,2330121599
304,2907,8210197817
305,2908,538826313
306,2909,19955059436
307,2910,4344815695
308,2911,82206307
309,2912,2260208943
310,2913,68893729
311,2914,7003646788
312,2915,14038406350
313,2916,10686114791
314,2917,18790566165
315,2918,7792416968
316,2919,898472532
317,2920,1557183673
318,2921,10733890539
319,2922,19846690241
320,2923,2101815435
321,2924,7261997024
322,2925,1344826161
323,2926,6410171869
324,2927,481974510
325,2928,1251807500
326,2929,5368812754
327,2930,7476305099
328,2931,6615160955
329,2932,7315462107
330,2933,71045854633
331,2934,20380872162
332,2935,9657622680
333,2936,6480681244
334,2937,15673089817
335,2938,1009189318
336,2939,2545461900
337,2940,930312586
338,2941,12916493871
339,2942,2163142596
340,3001,4826636252
341,3002,111245052234
342,3003,13508260875
343,3004,329572929956
344,3005,7095954984
345,3006,13906309624
346,3101,892575907
347,3102,28230237018
348,3103,2272080375
349,3104,17640269857
350,3105,23514062513
351,3201,363051626
352,3202,748541632
353,3203,1081256843
354,3204,12103533937
355,3205,223444081
356,3206,13144057727
357,3207,4268450621
358,3208,13183814957
359,3209,5820609003
360,3210,791291609
361,3211,208235116
362,3212,2277360498
363,3213,580719110
364,3214,7395484128
365,3215,15185423183
366,3301,4003716221
367,3302,21249211400
368,3303,16726198179
369,3304,31929229060
370,3305,13071197616
371,3306,4903571489
372,3307,11017055807
373,3401,6506496971
374,3402,30432556391
375,3403,8657240494
376,3404,2977032491
377,3405,2039509819
378,3406,2974428053
379,3407,657623833
380,3501,2563427722
381,3502,1511799656
382,3503,2043822811
383,3504,2600390842
384,3505,3565072424
385,3506,9662603362
386,3507,4686486846
387,3601,426205689
388,3602,898483380
389,3603,1535363296
390,3604,1203107983
391,3605,234426181
392,3606,328025879
393,3701,4926067885
394,3702,2069764013
395,3703,1126949239
396,3704,65973515
397,3705,858635608
398,3706,86023595
399,3707,6851359432
400,3801,1699411192
401,3802,2338831712
402,3803,316243509
403,3804,501113795
404,3805,191600028
405,3806,1795622761
406,3807,124844896
407,3808,32342975258
408,3809,4072906721
409,3810,1640393287
410,3811,12178988547
411,3812,4227634007
412,3813,257085556
413,3814,1669434210
414,3815,15656198852
415,3816,2086343759
416,3817,3124530096
417,3818,8038501807
418,3819,813304710
419,3820,1476115668
420,3821,1467471333
421,3822,22323833399
422,3823,47848984693
423,3901,77830214921
424,3902,43731610255
425,3903,23999178319
426,3904,19245061050
427,3905,4569860631
428,3906,15300428533
429,3907,53201627193
430,3908,14023907893
431,3909,15116117955
432,3910,6735583090
433,3911,5704846792
434,3912,5675675941
435,3913,2359357721
436,3914,1365191766
437,3915,6994120978
438,3916,4961962649
